StudentID,FirstName,LastName,Class,Score
N18DCCN001,Nguyễn Văn,Anh,D21CQCN01-B,9.5
N18DCCN002,Trần Thị,Bình,D21CQCN02-B,8.7
N18DCCN003,Lê Hoàng,Cương,D21CQCN01-N,7.8
N18DCCN006,Đỗ Văn,Phong,D21CQCN01-B,10.0
N18DCCN009,Bùi Quang,Huy,D21CQCN01-N,2.0
N18DCCN010,Ngô Linh,Lan,D21CQCN02-B,0.0
N18DCCN012,Trần Văn,Nam,D21CQCN01-B,9.5
N18DCCN015,Hoàng Đức,Anh,D21CQCN01-N,8.7
N18DCCN017,Vũ Tuấn,Kiệt,D21CQCN02-B,10.0
N18DCCN022,Nguyễn Văn,Anh,D21CQCN01-N,9.0
N18DCCN023,Hoàng Đức,Anh,D21CQCN02-B,7.0
N18DCCN024,Phạm Thanh,Hà,D21CQCN01-B,8.5
N18DCCN025,Nguyễn Thị,Thảo,D21CQCN02-B,9.2
N18DCCN026,Lê Minh,Tú,D21CQCN01-N,7.5
N18DCCN027,Hoàng Văn,Dũng,D21CQCN01-B,6.8
N18DCCN028,Trần Quốc,Bảo,D21CQCN02-B,8.9
N18DCCN029,Vũ Thị,Hương,D21CQCN01-N,9.7
N18DCCN030,Đặng Thành,Long,D21CQCN01-B,5.5
N18DCCN031,Bùi Thị,Mai,D21CQCN02-B,7.8
N18DCCN032,Nguyễn Quang,Hải,D21CQCN01-N,8.1
N18DCCN033,Lý Quốc,Khánh,D21CQCN01-B,9.8
N18DCCN034,Trịnh Văn,Toàn,D21CQCN02-B,6.5
N18DCCN035,Nguyễn Thu,Trang,D21CQCN01-N,8.3
N18DCCN038,Trần Văn,Bảo,D21CQCN01-B,8.0
N18DCCN040,Hoàng Văn,Giang,D21CQCN03-C,9.1
N18DCCN042,Đặng Thị,Linh,D21CQCN02-B,8.8
N18DCCN044,Trần Thị,My,D21CQCN02-B,9.9
N18DCCN048,Hoàng Minh,Dũng,D21CQCN01-C,9.1
N18DCCN050,naasdf,asdf,D23CN,8.0
N18DCCN054,Trần Quốc,Tuấn,D21CQCN01-N,9.3
N18DCCN056,Bùi Văn,Nam,D18CQCN,8.0
N18DCCN057,Ngô Thị,Linh,D21CQCN03-N,7.7
N18DCCN060,Hoàng Văn,Kiên,D21CQCN01-B,9.0
N18DCCN099,Nguyễn Thanh,Tú,D18CQCN02,9.0
