MaSV,Ho,Ten,Lop,Diem
N18DCCN001,Nguyễn Văn,Anh,D21CQCN01-B,9.5
N18DCCN002,Trần Thị,Bình,D21CQCN02-B,8.7
N18DCCN003,Lê Hoàng,Cương,D21CQCN01-N,7.8
N18DCCN004,Phạm Thanh,Dương,D21CQCN03-B,6.9
N18DCCN005,Hoàng Thị,Em,D21CQCN02-N,5.5
N18DCCN006,Đỗ Văn,Phong,D21CQCN01-B,10.0
N18DCCN007,Vũ Minh,Giang,D21CQCN03-N,4.5
N18DCCN008,Đặng Thu,Hà,D21CQCN04-B,3.5
N18DCCN009,Bùi Quang,Huy,D21CQCN01-N,2.0
N18DCCN010,Ngô Linh,Lan,D21CQCN02-B,0.0
N18DCCN011,Nguyễn Thị,Mai,D21CQCN04-N,8.7
N18DCCN012,Trần Văn,Nam,D21CQCN01-B,9.5
N18DCCN013,Lê Minh,Khôi,D21CQCN02-N,7.8
N18DCCN014,Phạm Gia,Hân,D21CQCN03-B,6.9
N18DCCN015,Hoàng Đức,Anh,D21CQCN01-N,8.7
N18DCCN016,Đỗ Thị Kim,Chi,D21CQCN04-B,5.5
N18DCCN017,Vũ Tuấn,Kiệt,D21CQCN02-B,10.0
N18DCCN018,Đặng Ngọc,Linh,D21CQCN03-N,9.5
N18DCCN019,Nguyễn Văn,Anh,D21CQCN05-B,8.0
N18DCCN020,Trần Thị,Bình,D21CQCN05-N,7.5
N18DCCN021,Lê Hoàng,Cương,D21CQCN06-B,6.5
N18DCCN022,Nguyễn Văn,Anh,D21CQCN01-N,9.0 
N18DCCN023,Hoàng Đức,Anh,D21CQCN02-B,7.0
N18DCCN024,Vũ Tuấn,Kiệt,D21CQCN03-N,8.5
