MaSV,Ho,Ten,Lop,Diem
B21DCCN001,Nguyễn,Văn Anh,D21CQCN01-B,9.5
B21DCCN002,Trần,Thị Bình,D21CQCN02-B,8.7
B21DCCN003,Lê,Hoàng Cường,D21CQCN01-N,7.8
B21DCCN004,Phạm,Thành Dương,D21CQCN03-B,6.9
B21DCCN005,Hoàng,Thị Em,D21CQCN02-N,5.5
B21DCCN006,Đỗ,Văn Phong,D21CQCN01-B,10.0
B21DCCN007,Vũ,Minh Giang,D21CQCN03-N,4.5
B21DCCN008,Đặng,Thu Hà,D21CQCN04-B,3.5
B21DCCN009,Bùi,Quang Huy,D21CQCN01-N,2.0
B21DCCN010,Ngô,Linh Lan,D21CQCN02-B,0.0
B21DCCN011,Lương,Thành Công,D21CQCN05-B,8.8
B21DCCN012,Võ,Minh Đức,D21CQCN06-N,7.2
B21DCCN013,Trương,Thị Hằng,D21CQCN07-B,6.5
B21DCCN014,Đào,Văn Hùng,D21CQCN08-N,9.1
B21DCCN015,Lý,Thị Kiều,D21CQCN09-B,8.0
